"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5731","creating Lead","chrome","2025-08-10","failed","2025-08-10","","TC002_create_lead.spec.ts","",""
"","11854","creating Lead","chromium","2026-01-25","passed","2026-01-25","","TC001_Login.spec.ts","",""
